"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV904","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir4 lineage",NA
"ASV905","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"ASV912","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Anaerosporobacter",NA
"ASV915","Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Cetobacterium",NA
"ASV917","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Rubinisphaeraceae",NA,NA
"ASV920","Bacteria",NA,NA,NA,NA,NA,NA
"ASV922","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Rubritaleaceae",NA,NA
"ASV923","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","Fimbriiglobus",NA
"ASV928","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","pohangensis"
"ASV933","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae",NA,NA
"ASV935","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA
"ASV940","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","Zavarzinella",NA
"ASV942","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Terrimicrobiaceae","Terrimicrobium",NA
"ASV943","Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast",NA,NA,NA
"ASV946","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonadaceae","Crenothrix",NA
"ASV947","Bacteria","Cyanobacteria","Cyanobacteriia","Thermosynechococcales","Thermosynechococcaceae","Cyanothece PCC 7425",NA
"ASV949","Bacteria",NA,NA,NA,NA,NA,NA
"ASV952","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Romboutsia","ilealis"
"ASV953","Bacteria","Chloroflexi","Anaerolineae","1-20",NA,NA,NA
"ASV955","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Rubritaleaceae","Luteolibacter",NA
"ASV956","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacter",NA
"ASV958","Bacteria",NA,NA,NA,NA,NA,NA
"ASV961","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae",NA,NA
"ASV964","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Cellulosilyticum",NA
"ASV965","Bacteria","Planctomycetota","Planctomycetes","Isosphaerales","Isosphaeraceae",NA,NA
"ASV971","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Galbitalea",NA
"ASV974","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Romboutsia",NA
"ASV980","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus",NA
"ASV982","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Iamiaceae","Iamia",NA
"ASV983","Bacteria","Actinobacteriota","Coriobacteriia","OPB41",NA,NA,NA
"ASV986","Bacteria","Proteobacteria","Alphaproteobacteria","Defluviicoccales","Defluviicoccaceae","Defluviicoccus",NA
"ASV987","Bacteria","Actinobacteriota","Actinobacteria",NA,NA,NA,NA
"ASV989","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio","cholerae"
"ASV991","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Sutterellaceae",NA,NA
"ASV993","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pirellula",NA
"ASV994","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Weeksellaceae","Apibacter","mensalis"
"ASV997","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Bartonella",NA
"ASV1003","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Iamiaceae","Iamia",NA
"ASV1007","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","haemolyticus"
"ASV1008","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pirellula",NA
"ASV1011","Bacteria","Proteobacteria","Gammaproteobacteria","Arenicellales","Arenicellaceae",NA,NA
"ASV1012","Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Sporichthyaceae",NA,NA
"ASV1015","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae",NA,NA
"ASV1016","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","Zavarzinella",NA
"ASV1018","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Chitinibacteraceae","Deefgea",NA
"ASV1024","Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast",NA,NA,NA
"ASV1029","Bacteria",NA,NA,NA,NA,NA,NA
"ASV1032","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",NA
"ASV1033","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","protegens"
"ASV1034","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Xenococcaceae","Gloeocapsopsis BDHKU 35101","crepidinum"
"ASV1035","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Ilumatobacteraceae","Ilumatobacter",NA
"ASV1036","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","Fimbriiglobus",NA
"ASV1037","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","FukuN57",NA
"ASV1038","Bacteria","Actinobacteriota","Actinobacteria","FFCH16263",NA,NA,NA
"ASV1043","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA,NA
"ASV1046","Bacteria",NA,NA,NA,NA,NA,NA
"ASV1050","Bacteria",NA,NA,NA,NA,NA,NA
"ASV1053","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","Gemmata",NA
"ASV1054","Bacteria","Chloroflexi","KD4-96",NA,NA,NA,NA
"ASV1059","Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Geodermatophilaceae","Blastococcus",NA
"ASV1061","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA,NA
"ASV1065","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA,NA
"ASV1067","Bacteria","Firmicutes","Bacilli","Lactobacillales","Vagococcaceae","Vagococcus",NA
"ASV1070","Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast",NA,NA,NA
"ASV1072","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Rhodococcus","fascians"
"ASV1073","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Serratia","fonticola"
"ASV1075","Bacteria","Actinobacteriota","Coriobacteriia","OPB41",NA,NA,NA
"ASV1076","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae",NA,NA
"ASV1081","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA
"ASV1082","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","67-14",NA,NA
"ASV1085","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","LD29",NA
"ASV1088","Bacteria",NA,NA,NA,NA,NA,NA
"ASV1089","Bacteria",NA,NA,NA,NA,NA,NA
"ASV1092","Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast",NA,NA,NA
"ASV1094","Bacteria","Chloroflexi","KD4-96",NA,NA,NA,NA
"ASV1096","Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast",NA,NA,NA
"ASV1101","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pirellula",NA
"ASV1103","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales Incertae Sedis","Phreatobacter",NA
"ASV1104",NA,NA,NA,NA,NA,NA,NA
"ASV1106","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Hyphomicrobium",NA
"ASV1108","Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast",NA,NA,NA
"ASV1113","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"ASV1117","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Hyphomicrobium",NA
"ASV1118","Bacteria",NA,NA,NA,NA,NA,NA
"ASV1121","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Rhodopirellula",NA
"ASV1125","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","SC-I-84",NA,NA
"ASV1127","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA,NA
"ASV1130","Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","JG30-KF-CM45",NA,NA
"ASV1135","Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast",NA,NA,NA
"ASV1136","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales Incertae Sedis","Alsobacter",NA
"ASV1138","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","Fimbriiglobus",NA
"ASV1139","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"ASV1141","Bacteria","Cyanobacteria","Cyanobacteriia",NA,NA,NA,NA
"ASV1143","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Pedomicrobium",NA
"ASV1149","Bacteria","Spirochaetota","Brevinematia","Brevinematales","Brevinemataceae","Brevinema","andersonii"
"ASV1150","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Terrimicrobiaceae","Terrimicrobium",NA
"ASV1152","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Aeromonadaceae","Aeromonas","sobria"
"ASV1157","Bacteria","Actinobacteriota","Actinobacteria","PeM15",NA,NA,NA
"ASV1158","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Aurantisolimonas",NA
"ASV1162","Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides",NA
"ASV1163","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Roseomonas",NA
"ASV1165","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir4 lineage",NA
"ASV1168","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Terrimicrobiaceae","Terrimicrobium",NA
"ASV1170","Bacteria","Actinobacteriota","Actinobacteria","Frankiales",NA,NA,NA
"ASV1172","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Blastopirellula",NA
"ASV1176","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA,NA
"ASV1178","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae",NA,NA
"ASV1184","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales Incertae Sedis",NA,NA
"ASV1187","Bacteria","Firmicutes","Clostridia","Oscillospirales","Hungateiclostridiaceae",NA,NA
"ASV1189","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae",NA,NA
"ASV1190","Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast",NA,NA,NA
"ASV1191","Bacteria","Planctomycetota","Planctomycetes","Isosphaerales","Isosphaeraceae",NA,NA
"ASV1194","Bacteria","Proteobacteria","Gammaproteobacteria","Competibacterales","Competibacteraceae","Candidatus Competibacter",NA
"ASV1196","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","Fimbriiglobus",NA
"ASV1197","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Fructilactobacillus",NA
"ASV1200","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Hydrogenophaga",NA
"ASV1204","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Rhodoblastus",NA
"ASV1205","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Proteocatella",NA
"ASV1206","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA,NA
